63,19,prisoner (b-sides),(2017)
63,20,other songs
64,1,boston's boy,(2010)
64,3,homecoming,(2013)
64,4,the long way,(2016)
64,5,other songs
66,1,through the storm,(1991)
66,2,save the world,(1993)
66,3,more than a melody,(1995)
66,4,songs from the heart,(1998)
66,5,mountain high... valley low,(1999)
66,6,believe,(2001)
66,7,day by day,(2005)
66,8,what a wonderful time,(2007)
66,9,becoming,(2011)
66,10,other songs
67,1,addison road,(2008)
68,1,19,(2008)
68,2,21,(2011)
68,3,25,(2015)
68,4,other songs
70,1,adelitas way,(2009)
70,2,home school valedictorian,(2011)
70,3,stuck,(2014)
70,4,getaway,(2016)
70,5,notorious,(2017)
70,6,other songs
72,1,adema,(2001)
72,2,insomniac's dream,(2002)
72,3,unstable,(2003)
72,4,planets,(2005)
72,5,kill the headlights,(2007)
73,1,hopeless illusions,(2004)
73,2,when the sun gave up the sky,(2005)
73,3,the rose will decay,(2006)
73,4,another year of disaster,(2009)
73,5,death dealers,(2011)
73,6,silence the world,(2013)
74,1,lebih indah,(2011)
74,2,other songs
75,1,do you wanna ride?,(1995)
75,2,the second coming,(2004)
76,1,dreamin' out loud,(1996)
76,2,big time,(1997)
76,3,more,(1999)
76,4,chrome,(2001)
76,5,comin' on strong,(2003)
76,6,songs about me,(2005)
76,7,dangerous man,(2006)
76,8,x,(2008)
76,9,cowboy's back in town,(2010)
76,10,proud to be here,(2011)
76,11,love will...,(2013)
76,12,the king's gift,(2013)
76,13,something's going on,(2017)
76,14,other songs
77,1,till death do us party,(2014)
77,2,after party,(2016)
77,3,whatever,(2017)
77,4,other songs
78,4,gmfu,(2017)
78,5,other songs
80,1,"calling all heroes, pt. 1",(2013)
80,2,red // blue,(2016)
80,3,other songs
82,3,what you need,(2011)
82,4,the bright side,(2012)
82,5,aer,(2014)
82,6,one of a kind,(2015)
82,7,other songs
83,1,aerosmith,(1973)
83,2,get your wings,(1974)
83,3,toys in the attic,(1975)
83,4,rocks,(1976)
83,5,draw the line,(1977)
83,6,night in the ruts,(1979)
